Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
143253,USB-C Charging Cable,1,11.95,NA,NA
143254,USB-C Charging Cable,1,11.95,NA,NA
143255,AAA Batteries (4-pack),1,2.99,NA,NA
143256,Bose SoundSport Headphones,1,99.99,NA,NA
143257,AAA Batteries (4-pack),1,2.99,NA,NA
143258,AA Batteries (4-pack),1,3.84,NA,NA
143259,Apple Airpods Headphones,1,150.0,NA,NA
143260,Wired Headphones,1,11.99,NA,NA
143261,Bose SoundSport Headphones,1,99.99,NA,NA
143262,27in FHD Monitor,1,149.99,NA,NA
143263,Lightning Charging Cable,1,14.95,NA,NA
143264,Bose SoundSport Headphones,1,99.99,NA,NA
143265,AA Batteries (4-pack),1,3.84,NA,NA
143266,AAA Batteries (4-pack),1,2.99,NA,NA
143267,AAA Batteries (4-pack),1,2.99,NA,NA
143268,AA Batteries (4-pack),1,3.84,NA,NA
143269,Bose SoundSport Headphones,1,99.99,NA,NA
143270,AA Batteries (4-pack),1,3.84,NA,NA
143271,27in FHD Monitor,1,149.99,NA,NA
143272,iPhone,1,700.0,NA,NA
143273,Google Phone,1,600.0,NA,NA
143274,ThinkPad Laptop,1,999.99,NA,NA
143275,AA Batteries (4-pack),1,3.84,NA,NA
143276,USB-C Charging Cable,1,11.95,NA,NA
143277,Apple Airpods Headphones,1,150.0,NA,NA
143278,AA Batteries (4-pack),1,3.84,NA,NA
143279,AA Batteries (4-pack),1,3.84,NA,NA
143280,Flatscreen TV,1,300.0,NA,NA
143281,USB-C Charging Cable,1,11.95,NA,NA
143282,AAA Batteries (4-pack),1,2.99,NA,NA
143283,Macbook Pro Laptop,1,1700.0,NA,NA
143284,Google Phone,1,600.0,NA,NA
143285,34in Ultrawide Monitor,1,379.99,NA,NA
143286,AA Batteries (4-pack),1,3.84,NA,NA
143287,AA Batteries (4-pack),1,3.84,NA,NA
143288,Wired Headphones,1,11.99,NA,NA
143289,AAA Batteries (4-pack),1,2.99,NA,NA
143290,Bose SoundSport Headphones,1,99.99,NA,NA
143291,Wired Headphones,1,11.99,NA,NA
143292,Bose SoundSport Headphones,1,99.99,NA,NA
143293,Apple Airpods Headphones,1,150.0,NA,NA
143294,27in 4K Gaming Monitor,1,389.99,NA,NA
